en	kw
All of us who live, work and visit Cornwall know it’s a special place.	Pub huni neb a drig, oberi po godriga yn Kernow a wor hy bos le arbennik.
Please go to the desk for complete information on your charges.	Kewgh mar pleg dhe’n desk rag kedhlow dien a’gas kostys.
Our contract is ready to be signed.	Yma agan kevambos parys dhe vos sinys.
They include land, a gold and ruby ring, silver spoons, books, pewter basins, fine clothing, fabrics and cushions, at least thirteen ‘feather beds’ and ‘One table picture of King Henry the Seventh’.	Y’ga mysk yma tir, bysow a owr ha rudhem, loyow a arghans, lyvrow, basonys a blommsten, dillas fin, gwiasow ha pluvogow, dhe’n lyha tredhek ‘gweli pluven’ hag ‘unn lymnans moos a Vyghtern Henri Seytek’.
All of the groups were introduced in Cornish and there were a lot of songs sung in Cornish.	Oll an bagasow a veu komendys yn Kernewek hag yth esa meur a ganow kenys yn Kernewek.
Do we drink white wine?	A wren ni eva gwin gwynn?
Pay Down Report	Derivas Iskendon
C7.2 Art, literature and theatre	C7.2 Art, lien ha drama
They are lazy.	Diek yns i.
Study booth	Log studhya
Can I see the cat?	A allav vy gweles an gath?
Which in sleep had fallen on you	Re godhas warnowgh ha hwi ow koska
Yes. They can see the cat.	Gyllons. I a yll gweles an gath.
You look like a normal person but actually you are the Angel of Death.	Dha semlans yw normal mes yn hwir an El a Ankow os ta.
Certificate of Attendance	Testskrif attendyans
North Street	Stret North
Greenhouse gases	Gassys chi gweder
Our Ambitions for Evolving our Ways of Working	Agan Ughelhwansow rag Esplegya agan Fordhow a Oberi
In February, the feel-good Gershwin brothers’ musical Crazy For You high-kicks into town, starring Strictly Come Dancing winner Tom Chambers and current Strictly star Brendan Cole returns by popular demand, with his dance spectacular All Night Long.	Mis Hwevrer, an ilowek lowenek gans breder Gershwin, Crazy For You, a boot ughel y'n dre, ow sterenna gwaynyer Strictly Come Dancing Tom Chambers, ha steren Strictly a-lemmyn, Brendan Cole, a dhehwel dre worholeth gwerinek gans y wari-mir dons All Night Long.
Plymouth University Peninsula Schools of Medicine and Dentistry	Skolyow an Worenys a Vedhegieth ha Medhegieth Dhens Pennskol Aberplymm
Was I in the city?	Esen vy y'n cita?
Downs field; arable	2694A
Do you like cycling?	Yw da genowgh diwrosa?
Sir Frances Bassett	Syr Frances Bassett
You should be ready in an hour.	Y kodh dhywgh bos parys yn unn eur.
They live in Hayle.	Trigys yns i yn Heyl.
Get Set… Let’s Vaccinate!	Bedhewgh Parys... Gwren Ni Bryghlina!
The reef	An grib
Cornish is okay, I suppose.	Kernewek yw da lowr, dell dhesevav.
The Pentewan Railway passed Trewhiddle.	An Hyns Horn Bentewyn a dremenas Trewydhel.
They're studying in Penryn. Where do you study?	I a wra studhya yn Pennrynn. Ple hwre'ta jy studhya?
We got you	Ni a’gas beus
Change Due:	Mona Gwaytys:
The Ellis archive is a wonderful source for Cornish social history in the mid 20th century.	Kovskrif Ellis yw fenten splann a istori socyal Kernow yn kres an 20ves kansbledhen.
Yes. We are walking home.	Eson. Yth eson ni ow kerdhes tre.
Executive summary	Berrskrif gweythresek
You are going in the wrong direction.	Yth esos ta ow mos yn tu kamm.
You are interested in Spanish history.	Istori spaynek yw dhe les dhis.
bed-spread	kolghes
Spending hard earned wages with local retailers and manufacturers.	Ow spena aga gober dendilys yn tiwysyk gans daskwerthoryon ha gwrioryon leel.
We all have a responsibility to protect our countryside and open spaces for current and future generations.	Ni oll a'gan beus omgemeryans a witha agan powdir ha spassow ygor rag henedhow a-lemmyn hag a dheu.
Important events and people	Hwarvosow ha tus posek
Caged Notes	Notennow y’n Kowel
Therefore, smoking in the vicinity of an entrance, window or ventilation system constitutes an offence in accordance with the Health Act 2006.	Rag henna, megi ogas dhe neb entrans, fenester po system ayrellans yw offens yn-dann Reyth Yeghes 2006.
I told you where there is an ATM.	My a leveris dhis le may ma toll y'n fos.
Their noses are small but your nose is smaller.	Byghan yw aga thron mes byghanna yw dha dron!
Your submission will be reviewed by one of our curators and, if deemed suitable, the dictionary will be included in the European Dictionary Portal.	Agas profyans a vydh daswelys gans onan a'gan gwythysi ha, mars yw breusys avel gwiw, an gerlyver a vydh komprehendys y'n Portal Gerlyvrow Europek.
You booked a table for four.	Ty a ragerghis moos rag peswar.
Sources	Fentynnyow
You're students.	Studhyoryon owgh hwi.
Plastic Free Camborne	Kammbronn Dhiblastek
Performing at the Intercultural Research Centre Symposium ceilidh	Ow performya y'n troyll Kestadhel Kresen Hwithrans Keswonisogethel
See our Family History theme page for a little more information.	Mir orth agan folen thema Istori Teyluyow rag nebes kedhlow moy.
They would like to become designers. How about you?	Da via gansa dos ha bos desinoryon. Ha ty?
Yes. You are playing guitar in the concert.	Esowgh. Yth esowgh hwi ow seni gitar y'n keskan.
Meadow View	Gwel an Pras
They're intermediate level.	Nivel kres yns i.
This helps identify common problems and solutions across The Duchy and helps us to deliver Cornwall-wide policies in a local context.	Hemm a weres orth aswon kudynnow kemmyn ha remedis a-dreus dhe’n Dhuketh ha’gan gweres delivra policis a-dreus Kernow yn kettesten leel.
[inscriptions and tributes...]	[skrifedhow ha trubyts...]
We can help if you have experienced sexual assault, abuse or rape and need support in your recovery.	Ni a yll gweres mar prevsowgh omsettyans reydhel, tebeldhyghtyans po ravnans hag yma edhom dhywgh a skoodhyans y'gas yaghheans.
‘Kescan Lowender’ – Hear and join in with songs in Kernewek from Oll an Gwella, Mabe Ladies Choir and Richard Trethewey (accompanied by Camborne Town Band).	'Keskan Lowender' - Goslowewgh orth kanow yn Kernewek hag omjunyewgh gansa, performys gans Oll an Gwella, Keur Benenes Lannvab ha Richard Trethewey (keveylys gans Band an Dre Kammbronn).
Sardinian	Sardeynek
What were you doing?	Pyth esowgh hwi ow kul?
Christmas at Botallack Counthouse	Nadelik yn Chi Komptya Bostalek
They're students.	Studhyoryon yns i.
Fishing net	Roos puskes
What happens in the first two years of life affects health and well being later in life.	An pyth a hwer y’n kynsa diw vledhen a vewnans a’n jeves effeyth war an yeghes ha sewena wosa henna y’n bewnans.
Here, the Redruth tram, which ran from 1902-1927, is emblazoned with an advert.	Omma, tram Resrudh,  a resega a 1902-1927, yw afinys gans argemmyn. 
No. They haven't yet.	Na wrussons. Ny wrussons i na hwath.
Do I buy bread in Truro?	A wrav vy prena bara yn Truru?
Just before the railway bridge there is a gatepost on the left marked ‘Bojea’ leading into what was once the Workhouse, built in 1838 to house up to 300 destitute local people.	Tamm kyns pons an hyns horn yma peul yet a-barth kledh merkys 'Bojea', ow ledya a-berth yn an pyth o an Oberji kyns, drehevys yn 1838 rag anedhi bys yn 300 a dus voghosek leel.
Capricorn	An Aver
Cornwall Council is committed to ensuring that Cornwall is a sustainable, resilient and beautiful place to live and work.	Konsel Kernow re omros dhe surhe bos Kernow le gwedhyn ha teg ynno dhe driga hag oberi.
About	Yn agan kever
You're calling on behalf of Mr. Pendarves.	Yth esos ta ow pellgewsel a-barth Mester Pendarves.
Our newly configured Cornwall School Standards Board will help us to encourage and hold all settings to account for performance outcomes as well as coordinating applications for the national strategic school improvement grants available to all regions.	Agan Kesva Savonow Skolyow Kernow konfigurys a-nowydh a wra agan gweres kenertha ha synsi pub desedhans oll dhe akont rag sewyansow performyans keffrys ha kesordena profyansow rag an grontow gwellhe skolyow stratejek kenedhlek yw kavadow dhe bub ranndir.
Do you have a brother?	Eus broder dhis?
Do I surf?	A wrav vy mordardha?
Do they have a certificate?	Eus testskrif dhedha?
Trailblazing Landowners	Perghennow Dir Ragresek
Is that your garden?	Yw henna dha lowarth?
Have they got the key?	Usi an alhwedh gansa?
Bernard Leach was born and raised in the Far East where his father was a colonial judge in Hong Kong and his maternal grandparents were missionaries in Japan.	Bernard Leach a veu genys ha megys y'n Est Pell, le mayth o y das breusyas trevesigel yn Hong Kong hag yth o y gerens wynn kanasow eglos yn Nihon.
Bring out the Cornish in you	Drewgh yn-mes an kernewek ynnowgh
Account balance	Gasadow akont
You'll sleep. You must sleep.	Hwi a wra koska. Res yw dhywgh koska.
She’d stand up on her hind legs and watch over the foot path that ran beside Trengrove Asylum for the Lost and Found.	Hi a sevi war hy diwarr dhelergh ha golya an trolergh a resa ryb Harber Trengove rag an Kellys ha'n Kevys.
Heritage Outreach Officer	Sodhek Ynstynnel Ertach
enjoy your visit, have fun, make a memory	Omjersyewgh agas vysyt, omlowenhe, gul kov
Proposed elevations	Arenebow profys
Because you want to buy a new house.	Drefen hwi dhe vynnes prena chi nowydh.
Do they want to work hard?	A vynnons i oberi yn fen?
Did you have a coat today?	Esa kota genes hedhyw?
Enjoy our special film about the exhibition, made by filmmaker Brett Harvey.	Enjoyewgh agan fylm arbennik a-dro dhe'n diskwedhyans, gwrys gans gwrier fylmow Brett Harvey.
You're going to give me an injection.	Hwi a wra ri dhymm skityans.
Summary of totals reached	Berrskrif a'n somennow drehedhys
Keep it simple	Gwith / Gwithewgh e sempel
You're eating bananas.	Yth esowgh hwi ow tybri banana.
Interview room	Stevel geswel
That all sounds like a 'big ask'.	Oll a henna a'n jeves semlant a 'worholeth bras'.
They've got a stomach ache.	Yma drog torr dhedha.
This was hard, dangerous work, and was unregulated until the mid-1800s.	Hemm o ober kales ha peryllus nag o rewlys kyns kres an 1800ow.
As the global economy resets itself after two years of incredible disruption, we are seeing the cost of living rising with household bills increasing noticeably and the Council will continue to do what it can to provide advice and support to those seeking a helping hand.	Dell dhassett an erbysiedh ollvysel wosa diw vledhen a wodorransow digrysadow, yth eson ow kweles an kost a vewa ow sevel gans reknow mayni owth ynkressya yn feur ha’n Konsel a wra pesya gul pandr’a yll ev dhe brofya avis ha skoodhyans dhe’n re ow hwilas dorn ow kweres.
Switchboard	Astel skwychya
Yes! You do walk.	Gwrewgh! Hwi a wra kerdhes.
Footpath	Trolergh
In fact we rarely appreciate what we have.	Yn gwiryonedh, namenowgh ny wren vri a’n pyth a’gan beus.
Did you drive the car?	A wrussowgh hwi lewya an karr?
Spirit 	Spyrys
Did I work in the same office?	A wrug vy oberi y'n keth sodhva?
Yes. I learnt Greek.	Gwrug. My a wrug dyski Grek.
They like painting.	Da yw gansa lymna.
For each of the overarching aims, there are strategic aims which set clear priorities for the development of the Cornish language over the next 10 years.	Rag pub medras olldalghus yma medrasow stratejek a sett ragwiryow kler rag displegyans an yeth kernewek dres an nessa 10 bledhen.
Accessibility	Hedhadewder
This leads to a reduction in a chemical called dopamine in the brain.	Hemm a led dhe leheans a gymygen henwys dopamine y'n ympynnyon.
Paper & Card	Paper ha Karten
Yes. You were drinking coffee.	Esewgh. Yth esewgh hwi owth eva koffi.
You'd like to see a doctor.	Ty a vynnsa gweles medhek.
This is to give us more accurate information on lesbian, gay, bisexual and transgender populations.	Hemm yw dhe ri dhyn kedhlow kewar a-dro dhe boblansow lesbian, gay, dewreydhel ha treusreydhel.
Pretend you have spotted a pirate ship out to sea. 	Omwrewgh hwi dhe verkya gorhel morlader y’n mor.
Did I learn Greek?	A wrug vy dyski Grek?
How long will it take for my parcel to arrive?	Pygemmys termyn kyns ow fardel dhe dhrehedhes?
Discover the manuscript here	Diskudhewgh an dornskrif omma
I say that we can swim today.	My a lever ni dhe allos neuvya hedhyw.
However, car parking can be a contentious subject, whether you are a resident, visitor or commuter.	Byttegyns, parkya karr a yll bos testen gavylek, mars os ta triger, godriger po terviajyer.
Worlds within worlds within worlds.	Bysow a-ji dhe vysow a-ji dhe vysow.
As we took a part of the collapsed section down, we discovered a chamber hidden inside the wall.	Ha ni ow tisevel rann a'n tregh kodhys, y tiskudhsyn kistven gelys a-ji an fos.
Yes. You're reading.	Esowgh. Yth esowgh hwi ow redya.
Nevertheless, Cornwall is leading the way by embracing our unique opportunities with more than 15 % of our homes already having renewable energy solutions, including heat pumps, solar panels and battery storage, outperforming national installations.	Yma Kernow byttegyns ow hembronk an fordh yn-dann vyrla agan chonsyow heb parow, mayth eus seulabrys dhe voy es 15% a’gan anedhow remedis nerth nowythadow, y’ga mysk pompys tomder, panellow howl ha kreunans batri, ow tremena dres ynstalyansow kenedhlek.
They'll pass on the message to him.	I a wra ri dhodho an messach.
Co Working	Kesoberi
Did you learn Greek?	A wrussowgh hwi dyski Grek?
They were superb actors.	Gwarioryon bryntin ens i.
This image captures a man blissfully engaged in his work in way which would be probably be frowned upon by modern health and safety inspectors.	An imach ma a rekord den omvyskys yn kwynnvys yn y ober yn fordh a wrussa dhe hwithroryon yeghes ha sawder arnowydh talgamma dres lycklod.
Were you playing rugby?	Esewgh hwi ow kwari rugbi?
Do they clean the elephant's house?	A wrons i glanhe chi an olifans?
We arrive at eight o'clock.	Ni a dheu dhe eth eur.
Welcome to Porthpean Beach	Treth Porthbian a'gas dynnergh
Tregolls Academy	Akademi Tregollas
First and Last	Kynsa ha Diwettha
I'm epileptic.	Yma drog-atti dhymm.
He published “Wanderings in the Western Land” about his travels, which includes descriptions (some quite offensive) of and reflections on America at that time.	"Ev a dhellos ""Gwandryansow yn Tir a'n West"" a-dro dh'y viajys, hag a gomprehend deskrifansow (nebes divlas lowr) a, ha prederow war Amerika orth an termyn na."
